Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
125	-	Base	1	8.05162e-05	0.0012959	0.00121538	-	-11942.5	7564.86	0.11442	116103	agefirstsex.baseline	Soft-ImpOnly	5	Soft-ImpOnly:5	0.00531333	0.01515362305748
126	-	Base	1	0.000505235	0.00276725	0.00226201	-	-29941.2	7560.45	7.50431e-05	116103	agefirstsex.baseline	Soft-ImpOnly	6	Soft-ImpOnly:6	0.0106193	0.0475770531014285
127	-	Base	1	0.00035561	0.00186095	0.00150534	-	-25458.6	7665.52	0.000897425	116103	agefirstsex.baseline	Soft-ImpOnly	7	Soft-ImpOnly:7	0.0102368	0.0347383948108784
128	-	Base	1	0.000416273	0.00176362	0.00134735	-	-26977.4	7501.39	0.000323253	116103	agefirstsex.baseline	Soft-ImpOnly	8	Soft-ImpOnly:8	0.0182462	0.0228142298122349
129	-	Base	1	6.87695e-05	0.00208405	0.00201528	-	-11149.7	7634.01	0.144156	116103	agefirstsex.baseline	Soft-ImpOnly	9	Soft-ImpOnly:9	0.0113222	0.00607386373672961
130	-	Base	1	0.000696275	0.00211164	0.00141537	-	-35403.4	7616.95	3.36586e-06	116103	agefirstsex.baseline	Soft-ImpOnly	10	Soft-ImpOnly:10	0.013756	0.0506160947949985
131	-	Base	1	0.000511696	0.00238282	0.00187112	-	-34018.1	8544.07	6.86417e-05	116103	agefirstsex.baseline	Soft-ImpAll	1	Soft-ImpAll:1	0.0108366	0.0472192385065426
132	-	Base	1	0.000182883	0.00221231	0.00202942	-	-20133.7	8442.11	0.0170893	116103	agefirstsex.baseline	Soft-ImpAll	2	Soft-ImpAll:2	0.00495707	0.0368933664442907
133	-	Base	1	0.000809846	0.00230706	0.00149722	-	-43140.1	8607.62	5.42058e-07	116103	agefirstsex.baseline	Soft-ImpAll	3	Soft-ImpAll:3	0.0157596	0.0513874717632427
134	-	Base	1	0.000434878	0.00161055	0.00117567	-	-31399.6	8554.61	0.000242494	116103	agefirstsex.baseline	Soft-ImpAll	4	Soft-ImpAll:4	0.0201475	0.0215847127435166
